album,album_date,photo_count,bucket,reason,matched_post_id,matched_post_title,containment,date_delta_days,marker,needs_review_subtype
Art Signified & Not Your Scene Three-Year Anniversary,2016-01-11,26,REPAIR,strong title + in-window + dead-gallery marker,65593,Art Signified & Not Your Scene Three-Year Anniversary at the Rickshaw,1.00,0,jig2;fbcdn,
August Burns Red,2016-03-29,25,REPAIR,strong title + in-window + dead-gallery marker,65432,Photos of August Burns Red at the Vogue Theatre,1.00,0,jig2;fbcdn,
Aurora Illumination Series w/ Queens Of The Stone Age,2018-08-05,39,REPAIR,strong title + in-window + dead-gallery marker,67501,Photos: Aurora Illumination Series w/ Queens Of The Stone Age,1.00,0,jig2;fbcdn,
Avenged Sevenfold,2018-02-19,64,REPAIR,strong title + in-window + dead-gallery marker,67502,Photos: Avenged Sevenfold @ The Pacific Coliseum in Vancouver,1.00,0,jig2;fbcdn,
Bahamas,2015-11-12,8,REPAIR,strong title + in-window + dead-gallery marker,65620,Bahamas at the Orpheum Theatre,1.00,0,oauth,
"Banks at Venue Nightclub, 05/24/14",2014-05-26,11,REPAIR,strong title + in-window + dead-gallery marker,65627,Banks at Venue Nightclub,1.00,0,oauth,
Barenaked Ladies / Fake Nudes Tour with Ron Sexsmith,2017-11-20,34,REPAIR,strong title + in-window + dead-gallery marker,67506,Photos: Barenaked Ladies / Fake Nudes Tour with Ron Sexsmith,1.00,0,jig2;fbcdn,
Barenaked Ladies @ Vancouver Folk Music Festival 2017,2017-07-18,15,REPAIR,strong title + in-window + dead-gallery marker,67507,Photos: Barenaked Ladies @ Vancouver Folk Music Festival 2017,1.00,0,oauth,
Baroness at Commodore Ballroom,2016-06-07,28,REPAIR,strong title + in-window + dead-gallery marker,65434,Photos of Baroness at The Commodore Ballroom,1.00,0,oauth,
Beck,2017-08-28,45,REPAIR,strong title + in-window + dead-gallery marker,67675,Photos of Beck at The Orpheum Theatre in Vancouver,1.00,0,jig2;fbcdn,
"Beck at Deer Lake Park, 08/19/14",2014-08-20,10,REPAIR,strong title + in-window + dead-gallery marker,65666,Beck at Deer Lake Park,1.00,0,jig2;fbcdn,
Belle and Sebastian @ The Vogue Theatre / June 29 / 2018,2018-07-04,18,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67512,Photos: Belle and Sebastian @ The Vogue Theatre,0.67,1,jig2;fbcdn,
Belle Game,2018-02-25,8,REPAIR,strong title + in-window + dead-gallery marker,67514,Photos: Belle Game @ Imperial Vancouver,1.00,1,jig2;fbcdn,
Benjamin Booker,2014-08-15,10,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),65687,Benjamin Booker at The Media Club,1.00,7,fbcdn,
Big Sugar with Static Shift,2018-10-24,20,REPAIR,strong title + in-window + dead-gallery marker,67515,Photos: Big Sugar with Static Shift @ The Commodore Ballroom,1.00,0,oauth,
Big Wreck with Ascot Royals,2017-01-30,71,REPAIR,strong title + in-window + dead-gallery marker,67678,Photos of Big Wreck with Ascot Royals at The Commodore Ballroom,1.00,0,oauth,
Bill and Joel Plaskett,2017-04-05,16,REPAIR,strong title + in-window + dead-gallery marker,67680,Photos of Bill and Joel Plaskett at The Vogue Theatre,1.00,0,oauth,
Billy Bragg,2017-10-02,11,REPAIR,strong title + in-window + dead-gallery marker,67681,Photos of Billy Bragg at The Commodore Ballroom in Vancouver,1.00,1,jig2;fbcdn,
Bishop Briggs @ The Commodore Ballroom / April 27 / 2018,2018-04-29,23,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67519,Photos: Bishop Briggs @ The Commodore Ballroom,0.67,0,jig2;fbcdn,
Bison at Venue,2016-04-18,18,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),67730,"Photos of Red Fang, Bison B.C., Black Wizard  at Venue",1.00,0,fbcdn,
Black Mountain with Guests at The Vogue Theatre,2017-03-12,54,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67682,Photos of Black Mountain with guests Destroyer (solo) & zZz,0.50,0,oauth,
Black Rebel Motorcycle Club,2018-02-22,27,REPAIR,strong title + in-window + dead-gallery marker,67523,Photos: Black Rebel Motorcycle Club @ The Commodore Ballroom,1.00,1,jig2;fbcdn,
Black Wizard at Venue,2016-04-18,17,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),67730,"Photos of Red Fang, Bison B.C., Black Wizard  at Venue",1.00,0,fbcdn,
"Bon Red with La Chinga at the Biltmore Cabaret, 06/06/14",2014-06-09,27,REPAIR,strong title + in-window + dead-gallery marker,65752,Bon Red with La Chinga at the Biltmore Cabaret,1.00,0,oauth,
Broken Social Scene,2017-10-24,9,REPAIR,strong title + in-window + dead-gallery marker,67527,Photos: Broken Social Scene at The Commodore Ballroom in Vancouver,1.00,0,jig2;fbcdn,
Bryan Adams / The Ultimate Tour @ Rogers Arena,2018-06-07,36,REPAIR,strong title + in-window + dead-gallery marker,67528,Photos: Bryan Adams / The Ultimate Tour 2018 @ Rogers Arena,1.00,0,jig2;fbcdn,
Burnaby Blues + Roots Festival 2014,2014-08-11,24,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),65800,Burnaby Blues + Roots Festival 2014,1.00,4,fbcdn,
Calexico with Julia Jacklin / June 8 / 2018,2018-06-12,29,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67530,Photos: Calexico with Julia Jacklin @ The Rickshaw,0.60,1,oauth,
"Car Free Day at Neptoon Records, 6/15/14",2014-06-16,35,REPAIR,strong title + in-window + dead-gallery marker,65848,Car Free Day at Neptoon Records,1.00,0,oauth,
Car Seat Headrest @ The Commodore Ballroom,2018-07-14,56,REPAIR,strong title + in-window + dead-gallery marker,67531,Photos: Car Seat Headrest @ The Commodore Ballroom,1.00,0,jig2;fbcdn,
Caravan Palace at The Vogue Theatre,2016-06-14,12,REPAIR,strong title + in-window + dead-gallery marker,65392,12 Amazing Photos of Caravan Palace at The Vogue Theatre,1.00,1,oauth,
Catfish and The Bottlemen,2015-10-06,10,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),65856,Catfish and the Bottlemen at The Commodore Ballroom,1.00,6,fbcdn,
"Chain and the Gang, Invisible Rays, Scotty P. & the Virgins",2015-01-13,48,REPAIR,strong title + in-window + dead-gallery marker,65867,"Chain and the Gang, Invisible Rays, Scotty P. & the Virgins at Electric Owl Social Club",1.00,0,oauth,
"Chappo, Towers and Trees, White Ash Falls",2015-08-01,22,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),65873,"Chappo, Towers and Trees, and White Ash Falls at the Media Club",1.00,2,fbcdn,
Charles Bradley,2016-05-22,29,REPAIR,strong title + in-window + dead-gallery marker,67683,Photos of Charles Bradley at The Commodore Ballroom,1.00,1,oauth,
Chase Rice,2017-07-30,36,REPAIR,strong title + in-window + dead-gallery marker,67684,Photos of Chase Rice at The Commodore Ballroom,1.00,2,jig2;fbcdn,
Chris Stapletonâ,2017-03-29,11,REPAIR,strong title + in-window + dead-gallery marker,67685,Photos of Chris Stapleton at Rogers Arena,1.00,0,jig2;fbcdn,
City and Colour at Rogers Arena,2016-06-06,26,REPAIR,strong title + in-window + dead-gallery marker,67686,Photos of City and Colour at Rogers Arena,1.00,0,oauth,
"City Walls, David Newberry",2015-02-03,22,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),65913,City Walls and David Newberry at The Imperial,1.00,3,fbcdn,
CLUTCH Book of Bad Decisions Tour 2018 | Sevendust | Tyler Bryant,2018-10-13,65,REPAIR,strong title + in-window + dead-gallery marker,67540,Photos: CLUTCH |�Book of Bad Decisions Tour 2018,1.00,0,oauth,
Coheed and Cambria / Protest the Hero / Crown Lands,2018-09-15,36,REPAIR,strong title + in-window + dead-gallery marker,67541,Photos: Coheed and Cambria / Protest the Hero / Crown Lands,1.00,0,oauth,
Coin,2018-03-17,11,REPAIR,strong title + in-window + dead-gallery marker,67542,Photos: Coin @ The Biltmore Cabaret,1.00,1,jig2;fbcdn,
Colter Wall | Commodore Ballroom | Jan.19/2019,2019-01-22,12,REPAIR,strong title + in-window + dead-gallery marker,67546,Photos: Colter Wall @ The Commodore Ballroom,1.00,1,jig2;fbcdn,
Commercial Skytrain Station Slows to a halt,2016-12-19,4,REPAIR,strong title + in-window + dead-gallery marker,68320,Skytrain Station Slows to a Halt,0.80,0,jig2;fbcdn,
Corb Lund & Ian Tyson,2018-01-12,26,REPAIR,strong title + in-window + dead-gallery marker,67548,Photos: Corb Lund & Ian Tyson @ The Vogue Theatre,1.00,0,jig2;fbcdn,
Counting Crows,2017-07-20,39,REPAIR,strong title + in-window + dead-gallery marker,67550,Photos: Counting Crows : A Brief History Of Everything Tour in Vancouver,1.00,0,jig2;fbcdn,
"Covenant Festival IV w/ Blasphemy, Incantation, Profanatica",2018-06-23,64,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67551,Photos: Covenant IV 2018 @ The Rickshaw Theatre,0.40,0,jig2;fbcdn,
"Cut Copy with Bear Mountain at the Malkin Bowl, 05/23/14",2014-05-26,26,REPAIR,strong title + in-window + dead-gallery marker,66016,Cut Copy with Bear Mountain at the Malkin Bowl,1.00,0,oauth,
Cyndi Lauper / P.N.E. Summer Night Concerts 2018,2018-09-05,40,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67552,Photos: Cyndi Lauper @ P.N.E. Amphitheatre,0.71,0,oauth,
Dan Auerbach @ The Vogue Theatre,2018-02-11,33,REPAIR,strong title + in-window + dead-gallery marker,67554,Photos: Dan Auerbach @ The Vogue Theatre,1.00,0,jig2;fbcdn,
"Dan Mangan + Blacksmith, Hayden, Astral Swans",2015-03-14,19,REPAIR,strong title + in-window + dead-gallery marker,66024,"Dan Mangan + Blacksmith, Hayden, Astral Swans at The Vogue Theatre",1.00,1,oauth,
"Daniel Wesley with City Walls at the Imperial, 05/22/14",2014-05-27,21,REPAIR,strong title + in-window + dead-gallery marker,66035,Daniel Wesley with City Walls at the Imperial,1.00,0,oauth,
Daniel Wesley With The Vidos & PaperTrails,2017-05-04,59,REPAIR,strong title + in-window + dead-gallery marker,67688,Photos of Daniel Wesley at The Commodore Ballroom with The Vidos and PaperTrails,1.00,0,jig2;fbcdn,
David Foster Foundation 30th Anniversary 2017 Miracle Gala,2017-10-23,91,REPAIR,strong title + in-window + dead-gallery marker,67556,Photos: David Foster Foundation 30th Anniversary 2017 Vancouver Miracle Gala & Concert,1.00,0,jig2;fbcdn,
David Gray,2014-08-27,7,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),66050,David Gray at Queen Elizabeth Theatre,1.00,4,fbcdn,
"Dead Soft, War Baby,",2016-01-18,20,REPAIR,strong title + in-window + dead-gallery marker,65430,"Dead Soft, War Baby, and MALK at the Rickshaw Theatre",1.00,1,jig2;fbcdn,
deadmau5,2017-10-26,18,REPAIR,strong title + in-window + dead-gallery marker,67557,Photos: �deadmau5�@ The P.N.E. Forum in Vancouver,1.00,1,jig2;fbcdn,
Death From Above 1979,2015-01-23,13,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),66059,Death From Above 1979 at The Vogue Theatre,1.00,7,fbcdn,
"Decibel Magazine Tour 2017: Kreator,Obituary,Midnight, Horrendous",2017-04-05,94,REPAIR,strong title + in-window + dead-gallery marker,67752,"Photos of The Decibel Magazine Tour 2017 : Featuring Kreator, Obituary, Midnight, and Horrendous",1.00,0,oauth,
Decibel Magazine Tour at Commodore Ballroom,2016-04-05,70,REPAIR,strong title + in-window + dead-gallery marker,67689,Photos of Decibel Magazine Tour at Commodore Ballroom,1.00,0,jig2;fbcdn,
Deer Tick,2017-11-07,34,REPAIR,strong title + in-window + dead-gallery marker,67562,Photos: Deer Tick @ The Rickshaw Theatre in Vancouver,1.00,0,jig2;fbcdn,
Def Leppard & Journey | North American Tour 2018,2018-10-04,68,REPAIR,strong title + in-window + dead-gallery marker,67563,Photos: Def Leppard and Journey | North American Tour 2018,1.00,1,oauth,
Delhi 2 Dublin  /  April 14th / 2018,2018-04-17,24,REPAIR,strong title + in-window + dead-gallery marker,67564,Photos: Delhi 2 Dublin @ The Commodore Ballroom April 14 / 2018,0.80,1,jig2;fbcdn,
"Des Larson at the Backstage Lounge, 03/23/14",2014-03-25,13,REPAIR,strong title + in-window + dead-gallery marker,66068,Des Larson at the Backstage Lounge,1.00,0,oauth,
Descendents,2017-08-28,22,REPAIR,strong title + in-window + dead-gallery marker,66069,Descendents � First of two SOLD OUT shows at The Commodore Ballroom,1.00,0,jig2;fbcdn,
Die Antwoord,2014-09-24,13,REPAIR,strong title + in-window + dead-gallery marker,66073,Die Antwoord at The Commodore Ballroom,1.00,5,oauth,
DIECEMBER VIII,2016-12-20,76,REPAIR,strong title + in-window + dead-gallery marker,67690,Photos of DIECEMBER VIII at the Russian Hall,1.00,1,oauth,
Dierks Bentley and Cole Swindell,2017-02-14,94,REPAIR,strong title + in-window + dead-gallery marker,67691,Photos of Dierks Bentley and Cole Swindell at Rogers Arena,1.00,0,oauth,
Django Django,2018-04-26,8,REPAIR,strong title + in-window + dead-gallery marker,67569,Photos: Django Django @ Venue Nightclub in Vancouver,1.00,1,jig2;fbcdn,
Down,2014-12-14,12,REPAIR,strong title + in-window + dead-gallery marker,65945,Down at The Commodore Ballroom,1.00,0,oauth,
"Dragonette, Young Empires",2015-12-12,16,REPAIR,strong title + in-window + dead-gallery marker,66110,Dragonette with Young Empires at the Vogue Theatre,1.00,0,jig2;fbcdn,
"Dweezil Zappa ""Choice Cuts!"" World Tour 2018 @ The Commodore",2018-12-17,35,REPAIR,strong title + in-window + dead-gallery marker,67574,Photos: Dweezil Zappa��CHOICE CUTS!��World Tour 2018,0.83,0,jig2;fbcdn,
ECCW Ballroom Brawl XI @ The Commodore Ballroom,2019-01-14,45,REPAIR,strong title + in-window + dead-gallery marker,66134,ECCW BALLROOM BRAWL IX @ The Commodore Ballroom,0.80,1,oauth,
Echo and the Bunnymen,2017-08-07,19,REPAIR,strong title + in-window + dead-gallery marker,67692,Photos of Echo and the Bunnymen in Vancouver,1.00,1,jig2;fbcdn,
Econoline Crush // TODDCast Podcast Friday Nights Vol. 11,2018-07-03,24,REPAIR,strong title + in-window + dead-gallery marker,67575,PHOTOS: Econoline Crush // TODDCast Podcast Friday Nights Vol. 11,1.00,0,jig2;fbcdn,
Enslaved,2015-03-12,9,REPAIR,strong title + in-window + dead-gallery marker,66154,Enslaved at Rickshaw Theatre,1.00,0,jig2;fbcdn,
"Factory Floor at Fortune Sound Club, 04/07/14",2014-04-10,7,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),66198,Factory Floor at Fortune Sound Club,1.00,5,fbcdn,
Fan Expo Vancouver 2017,2017-11-14,61,REPAIR,strong title + in-window + dead-gallery marker,67578,Photos:��Fan Expo Vancouver 2017�@ Canada Place Convention Centre,1.00,1,jig2;fbcdn,
Father John Misty,2017-05-30,95,REPAIR,strong title + in-window + dead-gallery marker,67694,Photos of Father John Misty at Malkin Bowl,1.00,3,jig2;fbcdn,
Father John Misty,2017-05-31,80,REPAIR,strong title + in-window + dead-gallery marker,67694,Photos of Father John Misty at Malkin Bowl,1.00,2,jig2;fbcdn,
Fidlar - Levitation,2016-06-21,25,REPAIR,strong title + in-window + dead-gallery marker,65412,25 Photos of Fidlar at Levitation Vancouver,1.00,1,jig2;fbcdn,
"Fish & Bird, David Newberry",2015-01-10,11,REPAIR,strong title + in-window + dead-gallery marker,66223,"Fish & Bird, David Newberry at The Biltmore Cabaret",1.00,0,oauth,
Five Alarm Funk,2018-04-21,21,REPAIR,strong title + in-window + dead-gallery marker,67579,Photos: Five Alarm Funk @ The Commodore Ballroom,1.00,0,oauth,
Fleet Foxes,2017-09-15,24,REPAIR,strong title + in-window + dead-gallery marker,67695,Photos of Fleet Foxes at Malkin Bowl in Vancouver,1.00,0,jig2;fbcdn,
Flogging Molly with The White Buffalo,2017-05-12,84,REPAIR,strong title + in-window + dead-gallery marker,67580,Photos: Flogging Molly with The White Buffalo at The Commodore Ballroom,1.00,3,jig2;fbcdn,
Foo Fighters / Concrete and Gold Tour 2018,2018-09-10,70,REPAIR,strong title + in-window + dead-gallery marker,67583,Photos: Foo Fighters / Concrete and Gold Tour 2018,1.00,1,jig2;fbcdn,
Frank Turner and The Sleeping Souls,2017-09-16,51,REPAIR,strong title + in-window + dead-gallery marker,67697,Photos of Frank Turner and The Sleeping Souls at The Commodore Ballroom in Vancouver,1.00,1,jig2;fbcdn,
Game Of Thrones LIVE Concert Experience Featuring Ramin Djawadi,2017-04-07,38,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67754,Photos of The Game Of Thrones LIVE concert experience at Rogers Arena,0.60,1,oauth,
George Ezra with Noah Kahan @ The Commodore Ballroom,2018-05-08,16,REPAIR,strong title + in-window + dead-gallery marker,67587,Photos: George Ezra with Noah Kahan @ The Commodore Ballroom,1.00,0,jig2;fbcdn,
GOB and Living with Lions,2014-08-24,19,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),66301,GOB and Living with Lions at The Imperial,1.00,7,fbcdn,
Gogol Bordello,2015-11-23,13,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),66310,Gogol Bordello at the Commodore Ballroom,1.00,2,fbcdn,
Good Charlotte,2017-04-15,51,REPAIR,strong title + in-window + dead-gallery marker,66317,Good Charlotte � Youth Authority Tour  at The Commodore Ballroom,1.00,1,jig2;fbcdn,
Great Lake Swimmers,2015-06-05,7,REPAIR,strong title + in-window + dead-gallery marker,66335,Great Lake Swimmers at The Vogue Theatre,1.00,2,oauth,
Greg Drummond with the Wild Romantics,2015-10-25,21,REPAIR,strong title + in-window + dead-gallery marker,66341,Greg Drummond with the Wild Romantics,1.00,0,jig2;fbcdn,
"Greg MacPherson at the Railway Club, 05/01/14",2014-05-03,8,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),66342,Greg MacPherson at the Railway Club,1.00,4,fbcdn,
GRiZ / OPIUO / Big Wild,2017-10-24,24,REPAIR,strong title + in-window + dead-gallery marker,67590,Photos:�GRiZ with�OPIUO and Big Wild at The P.N.E. Forum in Vancouver,1.00,0,jig2;fbcdn,
Guns N' Roses - Not In This Lifetime Tour with Royal Blood,2017-09-04,8,REPAIR,strong title + in-window + dead-gallery marker,66358,Guns N� Roses � �Not In This Lifetime Tour 2017� with Royal Blood,1.00,0,oauth,
Harry Styles / Live On Tour 2018 at Rogers Arena,2018-07-07,22,REPAIR,strong title + in-window + dead-gallery marker,67592,Photos: Harry Styles / Live On Tour 2018 @ Rogers Arena,1.00,0,jig2;fbcdn,
Hayley Kiyoko 2018-04-18,2018-04-19,43,REPAIR,"hand-review: false-ADD, headliner-dilution, confirmed broken gallery",67591,Photos: Haley Kiyoko @ The Vogue Theatre in Vancouver,0.33,0,jig2;fbcdn,
Headstones: The Picture Of Health Tour | Commodore,2018-11-26,27,REPAIR,strong title + in-window + dead-gallery marker,66376,Headstones | The Picture Of Health Tour�2018,1.00,1,jig2;fbcdn,
"Hed PE , Spread The Revenge, and Wettworker",2016-12-22,33,REPAIR,strong title + in-window + dead-gallery marker,67699,Photos of Hed PE with Spread The Revenge and Wettworker,1.00,1,oauth,
Hedley / Cageless Tour 2018,2018-02-07,19,REPAIR,strong title + in-window + dead-gallery marker,67595,Photos: Hedley / Cageless Tour 2018 @ Abbotsford Centre,1.00,1,jig2;fbcdn,
"Hell Yeah, In Flames and Source",2016-12-16,56,REPAIR,strong title + in-window + dead-gallery marker,67700,"Photos of Hell Yeah, In Flames and Source at The Commodore Ballroom",1.00,0,oauth,
HELLYEAH,2017-06-15,27,REPAIR,strong title + in-window + dead-gallery marker,67701,Photos of HELLYEAH at The Commodore Ballroom,1.00,0,jig2;fbcdn,
HOLLYWOOD BABBLE-ON with Ralph Garman & Kevin Smith,2018-05-12,26,REPAIR,strong title + in-window + dead-gallery marker,67596,Photos: HOLLYWOOD BABBLE-ON with Ralph Garman and Kevin Smith,1.00,0,jig2;fbcdn,
Howlin Rain @ The Astoria,2019-01-13,14,REPAIR,strong title + in-window + dead-gallery marker,67597,Photos: Howlin Rain @ The Astoria,1.00,0,oauth,
Hozier with Hudson Taylor @ The Orpheum Theatre,2018-10-24,8,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67598,Photos: Hozier @ The Orpheum Theatre,0.60,0,jig2;fbcdn,
I Mother Earth with Finger Eleven @ The Commodore / May 2 / 2018,2018-05-08,53,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67599,Photos: I Mother Earth and Finger Eleven @ The Commodore Ballroom,0.75,0,jig2;fbcdn,
Iced Earth,2018-03-06,52,REPAIR,strong title + in-window + dead-gallery marker,67601,Photos: Iced Earth @ The Rickshaw Theatre,1.00,1,jig2;fbcdn,
Imagine Dragons,2017-10-10,28,REPAIR,strong title + in-window + dead-gallery marker,67602,Photos: Imagine Dragons // Evolve Tour at Rogers Arena in Vancouver,1.00,0,jig2;fbcdn,
"In Flames, All That Remains, Wovenwar",2015-03-11,33,REPAIR,strong title + in-window + dead-gallery marker,66489,"In Flames, All That Remains, Wovenwar at The Vogue Theatre",1.00,1,oauth,
Interpol | Queen Elizabeth Theatre | Vancouver,2019-02-02,11,REPAIR,strong title + in-window + dead-gallery marker,67607,Photos: Interpol @ Queen Elizabeth Theatre,1.00,0,jig2;fbcdn,
J. Cole,2017-07-21,14,REPAIR,strong title + in-window + dead-gallery marker,67702,Photos of J. Cole in Vancouver,1.00,0,jig2;fbcdn,
Jack Garton and The Demon Squadron CD Release Party,2018-07-07,21,REPAIR,strong title + in-window + dead-gallery marker,67608,Photos: Jack Garton and The Demon Squadron CD Release @ The Wise Hall and Lounge,0.86,0,jig2;fbcdn,
James Bay at Orpheum,2016-04-29,27,REPAIR,strong title + in-window + dead-gallery marker,67703,Photos of James Bay at Orpheum,1.00,0,jig2;fbcdn,
Janet Jackson - State Of The World Tour,2017-09-27,55,REPAIR,strong title + in-window + dead-gallery marker,67610,Photos: Janet Jackson / State Of The World Tour at Rogers Arena,1.00,1,jig2;fbcdn,
Jason Bonham's Led Zeppelin Experience,2017-05-24,36,REPAIR,strong title + in-window + dead-gallery marker,67612,Photos: Jason Bonham�s Led Zeppelin Experience,1.00,4,jig2;fbcdn,
Jay-Z 4:44 Tour 2017,2017-12-15,18,REPAIR,strong title + in-window + dead-gallery marker,67614,Photos: Jay-Z / 4:44 Tour with Vic Mensa @ Rogers Arena in Vancouver,1.00,0,jig2;fbcdn,
Jesse Roper,2018-03-03,26,REPAIR,strong title + in-window + dead-gallery marker,67618,Photos: Jesse Roper @ The Commodore Ballroom,1.00,0,jig2;fbcdn,
Jesus and Mary Chain 'Psychocandy' 30th Anniversary,2015-05-14,7,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),66803,Jesus and Mary Chain �Psychocandy� 30th Anniversary,1.00,3,fbcdn,
Jimmy Buffett and The Coral Reefers,2017-10-15,11,REPAIR,strong title + in-window + dead-gallery marker,67704,Photos of Jimmy Buffett and The Coral Reefers at Rogers Arena in Vancouver,1.00,0,jig2;fbcdn,
Jimmy Eat World,2017-04-30,51,REPAIR,strong title + in-window + dead-gallery marker,67705,Photos of Jimmy Eat World at The Commodore Ballroom,1.00,2,jig2;fbcdn,
